2025-10-13 10:10:42 | INFO     | ================================================================================
2025-10-13 10:10:42 | INFO     | ESL INVENTORY SYNCHRONIZATION MIDDLEWARE STARTED
2025-10-13 10:10:42 | INFO     | Version: 1.0.0 (Cross-Platform)
2025-10-13 10:10:42 | INFO     | Platform: Darwin 24.5.0
2025-10-13 10:10:42 | INFO     | Python: 3.13.7
2025-10-13 10:10:42 | INFO     | Config: config.json
2025-10-13 10:10:42 | INFO     | Poll Interval: 30 seconds
2025-10-13 10:10:42 | INFO     | ================================================================================
2025-10-13 10:10:42 | INFO     | Starting ESL Middleware...
2025-10-13 10:10:42 | INFO     | Running initial synchronization...
2025-10-13 10:10:42 | INFO     | Starting sync cycle #1
2025-10-13 10:10:42 | INFO     | Found standalone DBF: stock.dbf
2025-10-13 10:10:42 | INFO     | Total: 1 DBF file(s), 0 with memo files
2025-10-13 10:10:42 | INFO     | Processing: stock.dbf
2025-10-13 10:10:42 | INFO     | Detecting changes in stock.dbf
2025-10-13 10:10:42 | INFO     | Reading DBF file: RMan_Export/stock.dbf
2025-10-13 10:10:42 | INFO     | Successfully read 13 records from RMan_Export/stock.dbf
2025-10-13 10:10:42 | INFO     | Change detection complete for stock.dbf:
2025-10-13 10:10:42 | INFO     |   New records: 0
2025-10-13 10:10:42 | INFO     |   Updated records: 0
2025-10-13 10:10:42 | INFO     |   Deleted records: 0
2025-10-13 10:10:42 | INFO     |   Unchanged records: 13
2025-10-13 10:10:42 | INFO     |   Max DOC_NO: 0
2025-10-13 10:10:42 | INFO     | No changes detected in stock.dbf
2025-10-13 10:10:42 | INFO     | ============================================================
2025-10-13 10:10:42 | INFO     | Sync Cycle #1 Complete
2025-10-13 10:10:42 | INFO     |   Duration: 0.00 seconds
2025-10-13 10:10:42 | INFO     |   Files Processed: 1
2025-10-13 10:10:42 | INFO     |   New Records: 0
2025-10-13 10:10:42 | INFO     |   Updated Records: 0
2025-10-13 10:10:42 | INFO     |   Deleted Records: 0
2025-10-13 10:10:42 | INFO     |   CSV Files Created: 0
2025-10-13 10:10:42 | INFO     | ============================================================
2025-10-13 10:10:42 | SUCCESS  | ✅ Middleware started. Syncing every 30 seconds
2025-10-13 10:10:42 | INFO     | Press Ctrl+C to stop
2025-10-13 10:10:47 | INFO     | Received signal 2. Shutting down...
2025-10-13 10:10:47 | INFO     | Stopping ESL Middleware...
2025-10-13 10:10:47 | SUCCESS  | ✅ Middleware stopped gracefully
2025-10-13 10:41:00 | INFO     | ================================================================================
2025-10-13 10:41:00 | INFO     | ESL INVENTORY SYNCHRONIZATION MIDDLEWARE STARTED
2025-10-13 10:41:00 | INFO     | Version: 1.0.0 (Cross-Platform)
2025-10-13 10:41:00 | INFO     | Platform: Darwin 24.5.0
2025-10-13 10:41:00 | INFO     | Python: 3.13.7
2025-10-13 10:41:00 | INFO     | Config: config.json
2025-10-13 10:41:00 | INFO     | Poll Interval: 30 seconds
2025-10-13 10:41:00 | INFO     | ================================================================================
2025-10-13 10:41:00 | INFO     | Starting ESL Middleware...
2025-10-13 10:41:00 | INFO     | Running initial synchronization...
